,train,val,test
Normal_1,True,False,False
Normal_3,True,False,False
Normal_4,True,False,False
Normal_5,True,False,False
Normal_6,True,False,False
Normal_8,True,False,False
Normal_9,True,False,False
Tumor_1,True,False,False
Tumor_2,True,False,False
Tumor_11,True,False,False
NCC_1,True,False,False
NCC_2,True,False,False
NCC_3,True,False,False
NCC_4,True,False,False
NCC_5,True,False,False
NCC_6,True,False,False
NCC_8,True,False,False
NCC_9,True,False,False
NCC_10,True,False,False
NCC_11,True,False,False
Tumor_5,True,False,False
Normal_7,False,True,False
NCC_7,False,True,False
Tumor_3,False,True,False
Normal_2,False,False,True
Tumor_4,False,False,True
Tumor_8,False,False,True
